serial_no,action,price,positions
1,short,18398.960605167085,-1
2,stay,18204.939538099745,-1
3,stay,18339.357782256004,-1
4,stay,18578.084798438016,-1
5,stay,18710.62696692699,-1
6,buy,18747.60768475592,0
8,short,18747.024559005746,-1
9,buy,18492.162826472628,0
10,short,18572.601585375676,-1
11,stay,18654.07156126157,-1
12,buy,18541.822238083,0
13,stay,18669.21693719775,0
14,short,18513.52900474211,-1
15,stay,18460.977139057504,-1
16,stay,18489.303871293,-1
17,stay,18579.486129719317,-1
18,buy,18433.10268479693,0
19,buy,18308.21843685697,1
20,sell,17885.294547519345,0
22,short,17491.156124191904,-1
23,buy,17354.804848100128,0
24,short,17411.443614094966,-1
25,stay,17452.06400757691,-1
26,stay,17560.39348235746,-1
27,buy,17542.57498702284,0
28,short,17838.07599750851,-1
29,stay,17448.533341424627,-1
30,stay,17296.63942640049,-1
31,stay,17361.761784291048,-1
32,buy,17539.528815946174,0
33,short,17525.155234247373,-1
34,buy,17493.518608159335,0
35,short,17625.814994611825,-1
36,stay,17827.213157321756,-1
37,stay,18007.35371684754,-1
38,stay,17771.48512373527,-1
39,stay,17543.47382323097,-1
40,buy,17526.94107320593,0
42,short,17710.51130248329,-1
43,buy,17948.44716619279,0
44,short,18035.680246260537,-1
45,stay,18392.884194652623,-1
46,buy,18446.60830350684,0
47,buy,18249.992070353357,1
48,sell,18610.575162426376,0
49,buy,18345.19824306049,1
50,sell,18418.43764956834,0
51,short,18657.23409392317,-1
52,buy,18690.52242059924,0
53,stay,18613.01089049581,0
54,short,18983.923708070502,-1
55,buy,18671.89076375564,0
56,short,19000.100753805244,-1
57,buy,19216.27690336477,0
58,stay,19000.336305717985,0
59,short,18988.502511946288,-1
60,buy,19469.11885750076,0
61,short,19343.576398319103,-1
62,buy,19170.93917928164,0
63,short,19018.24228219406,-1
64,buy,19132.490984549364,0
65,stay,19029.79055853305,0
66,stay,18971.023603912097,0
67,buy,18801.75992367921,1
68,stay,18897.01359704328,1
69,sell,19259.40084225822,0
70,stay,19328.882410718124,0
71,buy,19332.24644634542,1
72,sell,19452.14318624086,0
73,short,19627.84961650222,-1
74,buy,19359.85705038344,0
75,stay,19040.27168094016,0
76,short,19260.522135330797,-1
77,buy,19069.595255885702,0
78,short,18671.057139863493,-1
79,stay,18660.637262007134,-1
80,stay,18359.54974901013,-1
81,stay,18531.846173918468,-1
82,stay,18458.501274503706,-1
83,buy,18109.77520181892,0
84,stay,18646.370391743378,0
85,short,18660.89673630424,-1
86,stay,18468.76566659605,-1
87,stay,18135.647465504804,-1
88,buy,17854.407773782394,0
90,stay,17731.57699237287,0
91,stay,17726.911578821804,0
92,short,17807.355035301265,-1
93,stay,17206.874869654155,-1
94,stay,16956.83732037841,-1
95,buy,17205.822895727073,0
96,short,17375.33688889456,-1
97,buy,17279.793555763514,0
98,stay,17305.23598140838,0
100,stay,17223.207838829425,0
102,short,17363.379064653476,-1
103,stay,17066.144408545144,-1
104,buy,17147.878097846395,0
105,short,17384.71558474581,-1
106,buy,17255.923429977494,0
107,stay,17226.604659491026,0
108,stay,17307.49506992707,0
109,buy,17648.955947550752,1
110,sell,17397.807846917607,0
111,short,17102.149772035737,-1
112,stay,17416.34636926222,-1
113,buy,17541.90228274434,0
114,short,17573.30791177758,-1
115,buy,17548.96782997696,0
116,short,17610.064156821867,-1
117,stay,17838.124422360634,-1
118,buy,17855.963756127094,0
119,short,18174.84169153212,-1
120,stay,18544.79801452345,-1
121,stay,18529.442332827573,-1
122,stay,18693.99561004704,-1
123,stay,18767.542934953628,-1
124,buy,18794.98353205463,0
125,stay,18455.864534471948,0
126,short,18508.34432915899,-1
127,buy,18655.82350070116,0
128,short,18362.54156506269,-1
129,buy,18355.660857067083,0
130,stay,18397.598315071275,0
131,short,18278.008128022037,-1
132,buy,18342.850370677184,0
133,short,18302.07119838609,-1
134,stay,18162.31938456276,-1
135,buy,18582.375802790903,0
136,short,18354.85266207031,-1
137,stay,18324.200286770185,-1
138,buy,18321.82237303315,0
139,short,18480.09111570613,-1
140,stay,18221.815997917514,-1
141,buy,18280.44285852264,0
142,short,18171.386414102413,-1
143,stay,17826.168475687908,-1
144,buy,17541.49264322436,0
145,stay,17479.667613446207,0
146,short,17683.670593480994,-1
147,buy,17925.12964024913,0
148,stay,18089.599034313396,0
149,stay,18175.04623699237,0
150,buy,17978.727483097908,1
151,sell,17758.05572828265,0
153,short,17864.274126434833,-1
154,stay,17618.844384708285,-1
155,stay,17595.59863469005,-1
156,buy,17174.197498124813,0
157,short,17150.4869792692,-1
158,buy,17376.456041283684,0
159,stay,17163.559627023576,0
160,short,17048.09241864995,-1
161,buy,17114.09192715712,0
162,buy,17095.926528206233,1
163,sell,17220.517419175627,0
164,short,17071.25921945903,-1
165,stay,16774.23265002899,-1
166,stay,16766.52657584646,-1
167,buy,16718.717615735553,0
169,short,16150.143358805832,-1
170,stay,15985.22374398423,-1
171,stay,16030.888460255332,-1
172,buy,16192.59706635822,0
173,short,16189.812189293774,-1
174,buy,16243.649447471003,0
175,stay,16414.257646285332,0
177,stay,16690.169646486578,0
178,short,16374.806443101652,-1
179,stay,16479.770516304186,-1
180,stay,16428.828454728213,-1
181,stay,16404.178915854045,-1
182,buy,16954.245229469063,0
183,stay,16850.312740813133,0
184,stay,17182.849078546355,0
185,short,17218.758364302284,-1
186,buy,17301.374507101766,0
187,stay,17198.36612506915,0
188,stay,16958.045071739107,0
189,stay,16877.96187203196,0
192,stay,16761.667008893888,0
193,stay,17058.73735031304,0
194,stay,16895.474773308924,0
195,short,16702.18570320501,-1
196,buy,16514.085986298236,0
198,short,16320.447296526578,-1
199,stay,16417.65921402618,-1
200,buy,16354.333589921767,0
201,short,16343.437347481917,-1
202,stay,16388.406578524464,-1
203,buy,16636.827337800612,0
204,stay,16588.815499153094,0
205,stay,16526.700237029298,0
206,short,16596.187311758087,-1
207,buy,16378.778405944466,0
208,short,16547.284057432393,-1
209,buy,16637.744780756973,0
210,short,16769.802526239248,-1
211,buy,16773.66603458858,0
212,short,16528.574338527014,-1
213,stay,16695.494191777623,-1
214,stay,16685.261536720413,-1
215,buy,16500.077955858316,0
216,stay,16187.123942659227,0
217,stay,16657.43225556206,0
218,short,16652.440113104603,-1
219,stay,16674.370303171843,-1
220,buy,17074.45075476496,0
222,stay,16984.394867974963,0
224,stay,16808.470710411297,0
225,buy,17202.293359571544,1
226,stay,17134.38951169483,1
227,sell,17521.999764016156,0
228,stay,17490.32671612508,0
229,short,17792.56498189297,-1
230,buy,18046.80164630332,0
231,short,17921.325301465316,-1
232,stay,17807.37754952939,-1
233,buy,17698.089701481633,0
235,short,18092.442024268443,-1
236,stay,17896.606185989,-1
237,stay,18199.285320309547,-1
238,stay,18201.269617205227,-1
239,stay,18165.228711368803,-1
240,buy,18250.40506607179,0
241,stay,18546.536638623336,0
242,buy,18216.85455412616,1
243,stay,17960.93643639997,1
244,sell,17743.271313243364,0
245,stay,17895.228886330053,0
246,short,18020.619834731104,-1
247,stay,17970.858589678763,-1
248,stay,18302.832265009816,-1
249,stay,18052.943970205524,-1
250,buy,17797.713420686938,0
251,short,17774.068691142842,-1
252,stay,18132.39097257648,-1
253,buy,18335.429601537508,0
254,short,18584.348640591543,-1
255,buy,18594.10900199117,0
256,short,18345.819115406717,-1
257,stay,18159.865489707947,-1
258,buy,18480.1714919566,0
260,short,18512.437901232508,-1
261,buy,18473.499013284338,0
262,short,18721.27419744933,-1
263,stay,18569.80789995192,-1
264,buy,18591.784509389345,0
265,short,18562.17643472108,-1
266,buy,18424.36590803445,0
267,short,18844.60394080567,-1
268,stay,18874.79819473495,-1
269,buy,19129.582606070795,0
270,short,19289.024608470445,-1
271,stay,19375.234958411605,-1
272,buy,19469.30063519418,0
273,short,19373.387184178384,-1
274,stay,19280.33629785116,-1
275,buy,19236.44935170427,0
277,short,19266.93886693468,-1
278,buy,19234.899131105794,0
280,stay,19427.295444399653,0
281,short,19567.4073569434,-1
282,buy,19579.19739237389,0
283,buy,19471.450531874914,1
284,sell,19696.682609828254,0
285,buy,19714.981034593595,1
286,sell,19968.73246126992,0
287,short,19667.903684254383,-1
288,stay,19393.161950999613,-1
289,stay,19615.647206809317,-1
290,stay,19613.88727334923,-1
291,stay,19833.287337430786,-1
292,buy,19848.96187880824,0
294,short,19552.98501302621,-1
295,buy,19631.650783559136,0
297,short,19839.828631192697,-1
298,stay,19610.45308553523,-1
299,stay,19557.4322258847,-1
300,buy,19296.005686008088,0
301,short,19203.476731387454,-1
302,stay,19017.346839986072,-1
303,buy,19179.37950243548,0
304,short,19282.859662924573,-1
305,stay,19458.87888739736,-1
306,buy,19352.46437808056,0
307,buy,19355.64866283191,1
308,stay,19417.047123059547,1
309,sell,19103.760767216805,0
310,stay,18997.77441650376,0
311,short,19007.17137118849,-1
312,stay,18758.353436160964,-1
313,stay,18700.753087190114,-1
314,buy,18858.23332463641,0
315,short,18947.848760909863,-1
316,buy,18755.71973213948,0
317,buy,18978.051795994663,1
318,sell,18997.153131450363,0
319,short,19270.99176825889,-1
320,stay,19223.62233052641,-1
321,buy,18946.60915401132,0
322,short,19400.551589334635,-1
323,buy,19142.64044540431,0
324,buy,18622.559898785068,1
325,stay,18892.17187994959,1
326,sell,19262.25917356543,0
327,short,19517.664336450205,-1
328,stay,19824.196207986624,-1
329,stay,19948.7472385046,-1
330,buy,20268.0679329109,0
331,stay,20134.20284618783,0
332,stay,20020.87304145985,0
333,short,20076.37806425148,-1
334,buy,19622.44141488238,0
335,buy,19687.13150772629,1
336,stay,19598.53310766945,1
337,sell,19303.646404917326,0
338,stay,19474.573942859657,0
339,stay,19700.39645084023,0
340,short,19509.596655424662,-1
341,buy,19238.40881644572,0
342,short,19343.325752931418,-1
343,stay,19202.858119069813,-1
344,stay,19028.61458816148,-1
345,buy,19056.03572778811,0
348,short,19518.678812628543,-1
349,stay,19494.96130208672,-1
350,stay,19516.315349174085,-1
351,stay,19568.630689383965,-1
352,stay,19150.10299341649,-1
353,stay,18814.494933758597,-1
354,stay,18486.3932456006,-1
355,stay,18489.091291620007,-1
356,stay,18547.317771486363,-1
357,buy,18915.61036705245,0
358,stay,18738.88231204289,0
359,short,18214.25555535431,-1
360,buy,18235.722328769378,0
361,short,18279.892941769267,-1
362,buy,18401.247327209192,0
363,stay,18403.156143450917,0
364,buy,18408.21779192605,1
365,sell,18618.690977254693,0
366,buy,18669.046722675444,1
367,sell,18859.22867569616,0
368,short,18331.52470195426,-1
369,stay,18231.851067494623,-1
370,buy,18262.595939829407,0
372,buy,18371.00842842736,1
373,stay,18658.69532947752,1
374,sell,18742.849194818595,0
375,short,18698.63999548602,-1
376,stay,18473.86382556231,-1
377,stay,18759.66361153312,-1
378,buy,18799.689650444278,0
379,stay,18613.88323780177,0
380,short,18814.19543163232,-1
381,stay,18843.54177339616,-1
382,buy,18890.568304959743,0
383,stay,19224.56587613968,0
384,short,18953.191619017627,-1
385,buy,18557.08171595083,0
386,short,18486.871485802512,-1
387,buy,18375.986380958617,0
388,stay,18313.03566997424,0
389,short,17968.53433132742,-1
390,buy,17981.60612013296,0
391,stay,18056.858705622097,0
392,short,18377.97005768296,-1
393,stay,18148.78543721013,-1
394,buy,18320.95429666773,0
395,stay,18329.06260772938,0
396,stay,18243.34089221496,0
397,short,18093.95566325306,-1
398,buy,18053.568105466577,0
399,stay,18130.64192443396,0
400,stay,18217.061156739856,0
401,short,18400.203900676428,-1
402,buy,18491.31849305131,0
403,short,18420.337947585416,-1
404,stay,18284.46112790688,-1
405,buy,18042.1133568537,0
406,short,18187.25366175603,-1
407,buy,18397.74946373937,0
408,buy,18177.22450017868,1
409,sell,18301.813387990474,0
410,stay,18516.452476291517,0
411,short,18571.28449664178,-1
412,buy,18739.41670015542,0
413,short,18739.393217744524,-1
414,stay,19059.70169876931,-1
